"Velocity","Centroid"
0.011053652002812747,4.966405075026276E-4
0.0353976023786895,4.892496240084082E-4
0.06370090778637526,4.8038056381534487E-4
0.09892487248619575,4.6973769158366893E-4
0.13911082387495394,4.5696624490565777E-4
0.17216923367268808,4.4587572699314747E-4
0.21178673938475753,4.3157155491127693E-4
0.2582894823303395,4.1256947605295796E-4
0.3048553406325367,3.9221869611425663E-4
0.3500818131282382,3.6878481749438803E-4
0.3952669395257451,3.3679145137964424E-4
0.428902030415992,3.0187178285934804E-4
0.45389958022367527,2.58742039054967E-4
0.46566449198864596,2.1982533674949793E-4
0.47170751468741584,1.7709455837625307E-4
0.473359945430601,1.4786986187407565E-4
0.47440561626168265,9.183230172556424E-5
0.47449962269776025,4.499065190801867E-5
0.4746609657259637,5.831312466270117E-6
0.47466241236760043,6.678177000934064E-5
0.4746746725643325,1.086068209049207E-4
0.47480000033895337,2.2230769919343607E-5
0.4749009358098852,4.366822989898997E-5
0.4749911813638226,8.113456863562658E-5
